product_id,nombre_producto,SKU,precio,stock,color,talla,descripcion_corta,unidad_de_medida,fecha,url_imagen,codigo_barras
PROD001,Camiseta Algodon Orgánico,CAMISO001,$29.99,150,Verde Militar,M,Camiseta comoda de algodon 100% organico.,unidad,15/01/2023,https://ejemplo.com/img/camiseta001.jpg,75010000001
 PROD002,Pantalón Vaquero Slim Fit,PANTSLIM002,$59.50,NULL,Azul Oscuro,L,"Vaqueros de corte ajustado, estilo moderno.",unidad,20/03/2023,ejemplo.com/img/pantalon002.png,75010000002
PROD003,Zapatillas Deportivas Correr,ZAPA_RUN_003,89,75,Negro,42,"Ideal para corredores, maxima amortiguacion.",par,10/05/2023,https://ejemplo.com/img/zapa003.jpeg,75010000003
PROD004,Chaqueta Impermeable Ligera,,75.25,Cincuenta,Rojo,XL,"Proteccion contra la lluvia, muy ligera.",unidad,01/07/2023,https://ejemplo.com/img/chaqueta004.gif,75010000004
PROD005,Gorra Baseball Ajustable,Gorra005,19.99,30,Azul Marino,unica,Gorra clasica de beisbol con ajuste trasero.,pieza,05/09/2023,,75010000005
PROD006,Calcetines Pack 3,,12,200,Gris/Blanco/Negro,unica,Pack de 3 pares de calcetines comodos.,pack,25/11/2023,https://ejemplo.com/img/calcetines006.webp,NO_BARCODE
PROD007,Mochila Urbana Antirrobo,MochilaUrbana,Ochenta,10,Negro,N/A,Mochila con compartimentos ocultos y seguro.,unidad,01/01/2024,ejemplo.com/img/mochila007.jpg,75010000007
PROD008,Reloj Inteligente Pro,SMARTWATCH_008,199.99,5,Negro,,"Monitoriza actividad fisica, notificaciones.",pieza,14/02/2024,https://ejemplo.com/img/reloj008.jpg,75010000008
PROD009,,SKIRT009,45,80,Blanco,S,"Falda casual de lino, ideal para verano.",unidad,30/03/2024,https://ejemplo.com/img/falda009.jpg,75010000009
PROD010,Auriculares Inalambricos BT,AURICULARESBT010,120,NULL,Blanco,unica,"Sonido de alta fidelidad, bateria de larga duracion.",par,20/05/2024,https://ejemplo.com/img/auris010.jpg,75010000010
